,original,second_part,noun_forms,lemma,genus,compound_forms,related_words,hypernyms,roots,en_hypernyms,concept,definition,path,wup,stem_cistem,stem_porter,stem_lancaster,stem_snowball,share_cistem,share_porter,share_lancaster,share_snowball,dist_stemmer,similar_words,bert,blob,bert_related,blob_related,manual,Notes,blob_label,blob_related_label
150,klimakonsens,konsens,"['konsens', 'konsense', 'konsenses', 'konsensen']",konsens,m,"['klimakonsens', 'klimakonsense', 'klimakonsenses', 'klimakonsensen']","['Harmonie', 'Übereinkommen', 'Zustimmung', 'Einvernehmen', 'Eintracht', 'Einmütigkeit', 'Gleichgestimmtheit', 'Übereinstimmung', 'Konformität', 'Konsensus', 'Einstimmigkeit', 'Einhelligkeit', 'Einigkeit', 'Einklang', 'Konsens', 'Konformismus', 'traute Harmonie']","['Deckungsgleichheit', 'Kongruenz', 'Übereinstimmung']","['Kongruenz', 'Übereinstimmung', 'Deckungsgleichheit']","['harmony', 'concordance', 'concord', 'order', 'state', 'attribute', 'abstraction', 'abstract entity', 'entity']",action,"['Harmonie der Meinungen, Handlungen oder Charaktere von Menschen']",[],[],kon,konsen,kons,kons,,,,,,[],negative,0.0,negative,0.0411764705882352,neutral,,neutral,neutral
151,klimakonsortium,konsortium,"['konsortien', 'konsortium', 'konsortiums']",konsortium,n,"['klimakonsortien', 'klimakonsortium', 'klimakonsortiums']",[],[],[],,,[],[],[],konsortium,konsortium,konsort,konsortium,,,,,,[],negative,0.0,negative,0.0,neutral,,neutral,neutral
152,klimakreationismus,kreationismus,['kreationismus'],kreationismus,m,['klimakreationismus'],[],[],[],,,[],[],[],kreationismu,kreationismu,kreationism,kreationismus,,,,,,[],negative,0.0,negative,0.0,neutral,,neutral,neutral
153,klimalobby,lobby,"['lobbys', 'lobby']",lobby,f,"['klimalobbys', 'klimalobby']","['Vestibül', 'Lobby', 'Vorraum', 'Interessengruppe', 'Vorhalle', 'Interessenvertretung', 'Interessensvertretung', 'Lounge', 'Spezis', 'Empfangshalle', 'Union', 'Eingangshalle', 'Interessengemeinschaft', 'Interessenorganisation', 'Interessensgruppe', 'Interessenverband', 'Verband', 'Pressure-Group', 'Wandelhalle', 'Verbindung', 'Foyer']","['Händelstadt', 'Gesellschaft', 'Gruppe', 'Körperschaft', 'Halle']","['Gruppe', 'Gesellschaft', 'Körperschaft', 'Halle', 'Händelstadt']","['political entity', 'political unit', 'unit', 'social unit', 'organization', 'organisation', 'social group', 'grouping', 'group', 'abstraction', 'abstract entity', 'entity', 'interest', 'interest group', 'social group', 'grouping', 'group', 'abstraction', 'abstract entity', 'entity']",action,"['Gruppe von Personen, die versuchen, aktiv Einfluss auf die Gesetzgebung zu nehmen', 'ein großer Eingangs- oder Empfangsraum oder -bereich']",[],[],lobby,lobbi,lobby,lobby,,,,,,[],negative,0.0,negative,0.0,neutral,,neutral,neutral
154,klimamantra,mantra,"['mantren', 'mantra', 'mantras']",mantra,n,"['klimamantren', 'klimamantra', 'klimamantras']","['Losung', 'Maxime', 'Leitsatz', 'monotone Rezitation', 'Parole', 'Passphrase', 'Devise', 'Sinnspruch', 'Slogan', 'Japa', 'Motto', 'Spruchformel', 'Mantra', 'Heilsversprechen', 'Wahlspruch', 'Leitspruch', 'Wortfolge']","['Werbespruch', 'Werbeslogan']","['Werbespruch', 'Werbeslogan', 'Werbespruch', 'Werbeslogan']","['expression', 'saying', 'locution', 'spoken language', 'spoken communication', 'speech', 'oral communication', 'speech communication', 'voice communication', 'language', 'auditory communication', 'communication', 'abstraction', 'abstract entity', 'entity']",action,"['ein Lieblingsspruch einer Gruppe, Organisation oder Einzelperson', 'die Reihenfolge der Wörter in einem Text', '(Sanskrit) wörtlich eine ""heilige Äußerung"" im Vedismus; eine Sammlung von mündlich überlieferten poetischen Hymnen', 'ein häufig wiederholtes Wort oder eine häufig wiederholte Phrase']",[],[],mantra,mantra,mantr,mantra,,,,,,[],negative,0.0,negative,-0.0411764705882352,neutral,,neutral,negative
155,klimamilliardär,milliardär,"['milliardären', 'milliardäre', 'milliardär', 'milliardärs']",milliardär,m,"['klimamilliardären', 'klimamilliardäre', 'klimamilliardär', 'klimamilliardärs']","['reicher Mann', 'Geldaristokrat', 'Finanzgröße', 'Milliardär', 'Schwerreicher', 'Finanzkapitalist', 'Geldsack', 'Superreicher', 'Rockefeller', 'Finanzmagnat', 'Millionär', 'Reicher', 'Nabob', 'Pfeffersack', 'Krösus']","['Blaublüter', 'Aristo', 'Fauth', 'Vogt', 'Adelsherrscher', 'Aristokrat', 'Voigt']","['jemand', 'irgendjemand', 'jeder beliebige', 'Herrscher', 'Monarch', 'Regent', 'Souverän', 'Gebieter', 'Machthaber', 'Herr', 'Potentat', 'Vogt', 'Voigt', 'Fauth']","['drawstring bag', 'bag', 'container', 'instrumentality', 'instrumentation', 'means', 'artifact', 'artefact', 'unit', 'whole', 'physical object', 'object', 'physical entity', 'entity']",person,['ein Beutel mit Kordel zum Aufbewahren von Geld'],[],['macher'],milliardar,milliardär,milliardär,milliardar,,,,,,['macher'],negative,0.0,negative,0.0933333333333333,neutral,,neutral,neutral
156,klimamutti,mutti,"['mutti', 'muttis']",mutti,f,"['klimamutti', 'klimamuttis']","['Evastochter', 'Mutter', 'Weib', 'Frau', 'Frauensperson', 'Weibsstück', 'weibliche Person', 'Sie', 'Madame Non', 'Dame', 'Braut', 'Gebärerin', 'Frauenzimmer', 'Grazie', 'Mam', 'Kohls Mädchen', 'Angie', 'Weibsen', 'Weibsperson', 'Perle', 'deine arme alte Mutter', 'Ma', 'Mama', 'Alte', 'weibliches Wesen', 'Vertreterin des schönen Geschlechts', 'Mädchen', 'Tante', 'Lebensspenderin', 'Angela Merkel', 'Muddern', 'Schnalle', 'Mutti', 'Person weiblichen Geschlechts', 'alte Dame', 'Lady', 'weiblicher Mensch', 'Weibsbild', 'Mami', 'Eva']","['Mensch', 'Schraubenmutter', 'Mutter', 'Typ', 'Erziehungsberechtigte', 'Persönlichkeit', 'Person', 'Eltern', 'Charakter', 'Subjekt', 'die Alten', 'Individuum', 'Einzelwesen']","['die Alten', 'Eltern', 'Erziehungsberechtigte', 'Typ', 'Person', 'Mensch', 'Charakter', 'Subjekt', 'Persönlichkeit', 'Individuum', 'Einzelwesen', 'Erscheinung', 'Phantom', 'Artefakt', 'Hirngespinst', 'Einbildung', 'Phantasmagorie', 'Sinnestäuschung', 'Schimäre', 'Trugbild', 'Chimäre']","['parent', 'genitor', 'progenitor', 'primogenitor', 'antecedent', 'ascendant', 'root', 'ascendent', 'ancestor', 'relation', 'relative', 'soul', 'person', 'someone', 'mortal', 'individual', 'somebody', 'being', 'organism', 'animate thing', 'living thing', 'unit', 'whole', 'physical object', 'object', 'physical entity', 'entity', 'parent', 'genitor', 'progenitor', 'primogenitor', 'antecedent', 'ascendant', 'root', 'ascendent', 'ancestor', 'relation', 'relative', 'soul', 'person', 'someone', 'mortal', 'individual', 'somebody', 'being', 'organism', 'cause', 'causal agent', 'causal agency', 'physical entity', 'entity']",person,"['eine Frau, die ein Kind geboren hat', 'Eine weibliche Person.', 'eine junge Frau']",[],[],mutti,mutti,mutt,mutti,,,,,,[],negative,0.0,negative,0.0,neutral,,neutral,neutral
159,klimapflicht,pflicht,"['pflichten', 'pflicht']",pflicht,f,"['klimapflichten', 'klimapflicht']","['Agenda', 'Verbindlichkeit', 'Schuldigkeit', 'Obliegenheit', 'Pflicht', 'Verpflichtung']",[],[],"['state', 'attribute', 'abstraction', 'abstract entity', 'entity']",action,"['was getan werden muss, was von einem verlangt oder erwartet wird']",[],[],pflich,pflicht,pflicht,pflicht,,,,,,[],negative,0.0,negative,0.0,neutral,,neutral,neutral
160,klimapolemik,polemik,"['polemik', 'polemiken']",polemik,f,"['klimapolemik', 'klimapolemiken']","['unsachlicher Angriff', 'Polemik', 'scharfe Kritik']",[],[],"['tilt', 'contention', 'disceptation', 'argument', 'contestation', 'controversy', 'arguing', 'disputation', 'conflict', 'difference', 'dispute', 'difference of opinion', 'disagreement', 'speech act', 'human action', 'human activity', 'deed', 'act', 'event', 'abstraction', 'abstract entity', 'entity']",action,['eine Kontroverse (insbesondere über einen Glauben oder ein Dogma)'],[],[],polemik,polemik,polemik,polem,,,,,,[],negative,0.0,negative,0.0,neutral,,neutral,neutral
162,klimaprediger,prediger,"['predigern', 'predigers', 'prediger']",prediger,m,"['klimapredigern', 'klimapredigers', 'klimaprediger']","['Pfarrer', 'Mann Gottes', 'Gottesmann', 'Priester', 'Pfaffe', 'Schwarzrock', 'Prediger', 'Pastor']",[],[],"['reverend', 'clergyman', 'man of the cloth', 'spiritual leader', 'leader', 'soul', 'person', 'someone', 'mortal', 'individual', 'somebody', 'being', 'organism', 'animate thing', 'living thing', 'unit', 'whole', 'physical object', 'object', 'physical entity', 'entity', 'reverend', 'clergyman', 'man of the cloth', 'spiritual leader', 'leader', 'soul', 'person', 'someone', 'mortal', 'individual', 'somebody', 'being', 'organism', 'cause', 'causal agent', 'causal agency', 'physical entity', 'entity']",person,"['eine Person, die befugt ist, religiöse Gottesdienste zu halten']",[],['demagoge'],predig,predig,predig,predig,,,,,,['demagoge'],negative,0.0,positive,0.0,neutral,,neutral,neutral
163,klimapresse,presse,"['presse', 'pressen']",presse,f,"['klimapresse', 'klimapressen']","['Lohnschreiber', 'Journalisten', 'Medienleute', 'Schmock(s)', 'Presse', 'Verdichter', 'Zeitungswesen', 'Medienmeute', 'Medienvertreter', 'Zeitungsleute', 'Journaille', 'Printmedien', 'schreibende Zunft', 'Blattmacher']","['Dringlichkeit', 'Aktualität', 'Brisanz']","['Dringlichkeit', 'Brisanz', 'Aktualität', 'Dringlichkeit', 'Brisanz', 'Aktualität']","['piece of furniture', 'article of furniture', 'furniture', 'furnishing', 'instrumentality', 'instrumentation', 'means', 'artifact', 'artefact', 'unit', 'whole', 'physical object', 'object', 'physical entity', 'entity']",person,"['ein hohes Möbelstück, das Stauraum für Kleidung bietet; hat eine Tür und Schienen oder Haken zum Aufhängen von Kleidung', 'ein Medium zur Verbreitung von Druckerzeugnissen', 'die Printmedien, die für die Sammlung und Veröffentlichung von Nachrichten in Form von Zeitungen oder Zeitschriften zuständig sind']",[],[],press,press,press,press,,,,,,[],negative,0.0,negative,0.0,neutral,,neutral,neutral
164,klimaprofiteur,profiteur,"['profiteur', 'profiteuren', 'profiteure', 'profiteurs']",profiteur,m,"['klimaprofiteur', 'klimaprofiteuren', 'klimaprofiteure', 'klimaprofiteurs']","['Aasgeier', 'Profiteur', 'Parasit', 'Schinder', 'Profitmacher', 'Sklaventreiber', 'Leuteschinder', 'Hyäne', 'Blutsauger', 'Ausbeuter', 'Nutznießer', 'Halsabschneider']","['User', 'Benützer', 'Benutzer', 'Computer-Nutzer', 'Anwender', 'Nutzer']","['jemand', 'irgendjemand', 'jeder beliebige']","['capitalist', 'soul', 'person', 'someone', 'mortal', 'individual', 'somebody', 'being', 'organism', 'animate thing', 'living thing', 'unit', 'whole', 'physical object', 'object', 'physical entity', 'entity', 'capitalist', 'soul', 'person', 'someone', 'mortal', 'individual', 'somebody', 'being', 'organism', 'cause', 'causal agent', 'causal agency', 'physical entity', 'entity']",person,"['jemand, der übermäßige Gewinne erzielt (insbesondere bei knappen Gütern)', 'ein Aufseher von Sklaven bei der Arbeit']",[],[],profiteur,profiteur,profit,profiteur,,,,,,[],negative,0.0,negative,0.0,neutral,,neutral,neutral
165,klimapropaganda,propaganda,['propaganda'],propaganda,f,['klimapropaganda'],"['Volksverhetzung', 'Agitation', 'Propaganda', 'Volksverführung', 'Täuschung', 'Volksverdummung', 'Demagogie', 'Vernebelung der Gehirne', 'Manipulation', 'Hetze']","['Versäumnis', 'Unterlassung', 'Versäumung', 'Nichteinhaltung']","['Nichteinhaltung', 'Versäumnis', 'Unterlassung', 'Versäumung']","['falsehood', 'untruth', 'falsity', 'statement', 'content', 'substance', 'subject matter', 'message', 'communication', 'abstraction', 'abstract entity', 'entity']",action,"['eine irreführende Unwahrheit', 'leidenschaftliche Appelle an die Vorurteile und Gefühle der Bevölkerung']",[],[],propaganda,propaganda,propagand,propaganda,,,"['propaganda', 'propagandist']",,"['propaganda', 'propagandafilm']","['propaganda', 'propagandist', 'propaganda', 'propagandafilm']",negative,0.0,negative,0.0,neutral,,neutral,neutral
166,klimapropagandafilm,propagandafilm,"['propagandafilmes', 'propagandafilme', 'propagandafilm', 'propagandafilmen', 'propagandafilms']",propagandafilm,m,"['klimapropagandafilmes', 'klimapropagandafilme', 'klimapropagandafilm', 'klimapropagandafilmen', 'klimapropagandafilms']",[],[],[],,,[],[],[],propagandafilm,propagandafilm,propagandafilm,propagandafilm,,,,,"['propagandafilm', 'propagandist']","['propagandafilm', 'propagandist']",negative,0.0,negative,0.0,neutral,,neutral,neutral
167,klimapropagandist,propagandist,"['propagandist', 'propagandisten']",propagandist,m,"['klimapropagandist', 'klimapropagandisten']","['Zeitschriftenwerber', 'Straßenhändler', 'Straßenverkäufer', 'Promoter', 'Propagandist', 'Werber', 'Aboverkäufer', 'Drücker']","['Verticker', 'kaufmännischer Angestellter', 'Verkäuferin', 'kaufmännischer Mitarbeiter', 'Verkäufer', 'Kaufmann']","['Verkäufer', 'kaufmännischer Mitarbeiter', 'kaufmännischer Angestellter', 'Verticker', 'Kaufmann', 'Verkäuferin']","['interloper', 'trespasser', 'intruder', 'entrant', 'traveler', 'traveller', 'soul', 'person', 'someone', 'mortal', 'individual', 'somebody', 'being', 'organism', 'animate thing', 'living thing', 'unit', 'whole', 'physical object', 'object', 'physical entity', 'entity', 'interloper', 'trespasser', 'intruder', 'entrant', 'traveler', 'traveller', 'soul', 'person', 'someone', 'mortal', 'individual', 'somebody', 'being', 'organism', 'cause', 'causal agent', 'causal agency', 'physical entity', 'entity', 'interloper', 'trespasser', 'intruder', 'persona non grata', 'unwelcome person', 'soul', 'person', 'someone', 'mortal', 'individual', 'somebody', 'being', 'organism', 'animate thing', 'living thing', 'unit', 'whole', 'physical object', 'object', 'physical entity', 'entity', 'interloper', 'trespasser', 'intruder', 'persona non grata', 'unwelcome person', 'soul', 'person', 'someone', 'mortal', 'individual', 'somebody', 'being', 'organism', 'cause', 'causal agent', 'causal agency', 'physical entity', 'entity']",person,"['jemand, der sich aufdrängt oder vordrängt', 'eine Person, die Botschaften verbreitet, um eine Sache oder eine Regierung zu unterstützen']",[],[],propagandi,propagandist,propagand,propagandist,,,"['propaganda', 'propagandist']",,"['propagandist', 'propagandafilm']","['propaganda', 'propagandist', 'propagandist', 'propagandafilm']",negative,0.0,negative,0.0,neutral,,neutral,neutral
168,klimaprotestler,protestler,"['protestlern', 'protestlers', 'protestler']",protestler,m,"['klimaprotestlern', 'klimaprotestlers', 'klimaprotestler']","['Demonstrierender', 'Protestierende', 'Wutbürger', 'Demonstrationsteilnehmer', 'Demonstrant', 'Protestler', 'Protestbürger']","['jeder beliebige', 'irgendjemand', 'jemand']","['jemand', 'irgendjemand', 'jeder beliebige', 'jemand', 'irgendjemand', 'jeder beliebige']","['reformer', 'meliorist', 'crusader', 'social reformer', 'reformist', 'disputant', 'eristic', 'controversialist', 'soul', 'person', 'someone', 'mortal', 'individual', 'somebody', 'being', 'organism', 'animate thing', 'living thing', 'unit', 'whole', 'physical object', 'object', 'physical entity', 'entity', 'reformer', 'meliorist', 'crusader', 'social reformer', 'reformist', 'disputant', 'eristic', 'controversialist', 'soul', 'person', 'someone', 'mortal', 'individual', 'somebody', 'being', 'organism', 'cause', 'causal agent', 'causal agency', 'physical entity', 'entity']",person,"['jemand, der sich an einer öffentlichen Demonstration von Gruppengefühlen beteiligt', None]",[],[],protestl,protestl,protestl,protestl,,,,,,[],negative,0.0,negative,0.0,neutral,,neutral,neutral
169,klimapseudowissenschaft,pseudowissenschaft,"['pseudowissenschaft', 'pseudowissenschaften']",pseudowissenschaft,f,"['klimapseudowissenschaft', 'klimapseudowissenschaften']","['Pseudowissenschaft', 'Scheinwissenschaft']",[],[],"['false belief', 'fallacy', 'misconception', 'idea', 'thought', 'content', 'mental object', 'cognitive content', 'noesis', 'cognition', 'knowledge', 'psychological feature', 'abstraction', 'abstract entity', 'entity']",action,"['eine Tätigkeit, die der Wissenschaft ähnelt, aber auf falschen Annahmen beruht']",[],[],pseudowissenschaf,pseudowissenschaft,pseudowissenschaft,pseudowissenschaft,,,,,,[],negative,0.0,negative,0.0,neutral,,neutral,neutral
170,klimapäckchen,päckchen,"['päckchens', 'päckchen']",päckchen,n,"['klimapäckchens', 'klimapäckchen']","['Box', 'Päckchen', 'Kasten', 'Packung', 'Paket', 'Schachtel']","['Kollektion', 'Sammlung']","['Gruppierung', 'Clusterung', 'Bündelung']","['containerful', 'indefinite quantity', 'measure', 'amount', 'quantity', 'abstraction', 'abstract entity', 'entity']",action,"['die in einer Schachtel enthaltene Menge', 'ein kleines Päckchen oder Bündel']",[],[],packch,päckchen,päckchen,packch,,,,,,[],negative,0.0,negative,0.0,neutral,,neutral,neutral
171,klimarealismus,realismus,"['realismus', 'realismen']",realismus,m,"['klimarealismus', 'klimarealismen']","['Realitätssinn', 'Realismus', 'Wirklichkeitssinn']",[],[],"['actuality', 'existence', 'being', 'beingness', 'face of the earth', 'state', 'attribute', 'abstraction', 'abstract entity', 'entity']",action,"['der Zustand, tatsächlich oder real zu sein']",[],[],realismu,realismu,realism,realismus,,,,,"['realismus', 'realist']","['realismus', 'realist']",negative,0.0,negative,0.0,neutral,,neutral,neutral
172,klimasektierer,sektierer,"['sektierers', 'sektierern', 'sektierer']",sektierer,m,"['klimasektierers', 'klimasektierern', 'klimasektierer']","['Sektierer', 'Dissident', 'Irrgläubiger', 'Deviationist', 'Häretiker', 'Ketzer', 'Separatist', 'Abtrünniger', 'Abweichler', 'Andersdenkender', 'Renegat', 'Abgefallener', 'anders Denkender', 'Apostat', 'Sonderbündler']","['Diplomat', 'irgendjemand', 'diplomatischer Vertreter', 'Repräsentant', 'Konsul', 'jeder beliebige', 'Botschafter', 'Missionschef', 'jemand', 'Auslandsvertreter', 'Geschäftsträger']","['jemand', 'irgendjemand', 'jeder beliebige', 'jemand', 'irgendjemand', 'jeder beliebige']","['bigot', 'partisan', 'zealot', 'drumbeater', 'advocate', 'advocator', 'proponent', 'exponent', 'soul', 'person', 'someone', 'mortal', 'individual', 'somebody', 'being', 'organism', 'animate thing', 'living thing', 'unit', 'whole', 'physical object', 'object', 'physical entity', 'entity', 'bigot', 'partisan', 'zealot', 'drumbeater', 'advocate', 'advocator', 'proponent', 'exponent', 'soul', 'person', 'someone', 'mortal', 'individual', 'somebody', 'being', 'organism', 'cause', 'causal agent', 'causal agency', 'physical entity', 'entity']",person,"['ein Mitglied einer Sekte', 'eine Person, die religiöse Überzeugungen vertritt, die dem Dogma der römisch-katholischen Kirche widersprechen']",[],['anbeter'],sektier,sektier,sekty,sekti,,,,,"['sektierer', 'sekte']","['anbeter', 'sektierer', 'sekte']",negative,0.0,negative,-0.0666666666666666,neutral,,neutral,negative
173,klimastaat,staat,"['staates', 'stäten', 'stäte', 'staat', 'staate', 'staaten', 'staats']",staat,m,"['klimastaates', 'klimastäten', 'klimastäte', 'klimastaat', 'klimastaate', 'klimastaaten', 'klimastaats']","['Nationalstaat', 'Staat', 'Nation', 'Land']","['Herrschaften', 'liebe Leute', 'Leute', 'Freunde']","['Gruppierung', 'Clusterung', 'Bündelung']","['people', 'grouping', 'group', 'abstraction', 'abstract entity', 'entity']",action,"['die Menschen, die in einer Nation oder einem Land leben']",[],['vatikan'],staa,staat,sta,staat,,,,,,['vatikan'],negative,0.0,negative,0.0,neutral,,neutral,neutral
174,klimateppich,teppich,"['teppichs', 'teppiche', 'teppich', 'teppichen']",teppich,m,"['klimateppichs', 'klimateppiche', 'klimateppich', 'klimateppichen']","['Auslegeware', 'Knüpfwerk', 'Teppich']",[],[],"['natural object', 'unit', 'whole', 'physical object', 'object', 'physical entity', 'entity']",person,"['ein natürlicher Gegenstand, der einem Teppich ähnelt oder diesen suggeriert']",[],[],teppich,teppich,teppich,teppich,,,,,,[],negative,0.0,negative,0.0,neutral,,neutral,neutral
175,klimaverstand,verstand,"['verstands', 'verstande', 'verstandes', 'verstand']",verstand,m,"['klimaverstands', 'klimaverstande', 'klimaverstandes', 'klimaverstand']","['Verstand', 'Geisteskraft', 'Grütze', 'Grips', 'Köpfchen', 'Denkfähigkeit', 'Denkvermögen', 'Vernunft', 'Scharfsinnigkeit', 'Fassungskraft', 'Fassungsgabe', 'Klugheit', 'Geist', 'Auffassungsgabe', 'Scharfsinn', 'Intelligenz', 'Verständnis', 'Aufnahmefähigkeit', 'Gehirnschmalz']","['Fachbereich', 'Universitätsabteilung', 'Fakultät']","['Bereich', 'Abteilung', 'Sektion']","['intelligence', 'power', 'ability', 'noesis', 'cognition', 'knowledge', 'psychological feature', 'abstraction', 'abstract entity', 'entity']",action,"['Wissen und intellektuelle Fähigkeiten', 'geistige Fähigkeit']","['intelligenz', 'vernunft']","['intelligenz', 'vernunft']",versta,verstand,verstand,verstand,,,,,,"['intelligenz', 'vernunft']",negative,0.0,negative,0.0,neutral,,neutral,neutral
176,klimaverteidigung,verteidigung,"['verteidigung', 'verteidigungen']",verteidigung,f,"['klimaverteidigung', 'klimaverteidigungen']","['Verteidigung', 'Verteidigungsrede', 'Rechtfertigung', 'Widerstand', 'Abwehr', 'Apologie', 'Defensive', 'Gegenwehr']","['Operation', 'Tat', 'Aktion', 'Handlung']","['Handlung', 'Operation', 'Aktion', 'Tat']","['justification', 'account', 'explanation', 'statement', 'content', 'substance', 'subject matter', 'message', 'communication', 'abstraction', 'abstract entity', 'entity']",action,"['die Rechtfertigung für eine Handlung oder eine Überzeugung', 'der Akt, jemanden oder etwas gegen einen Angriff oder eine Verletzung zu verteidigen']",[],[],verteidigung,verteidigung,verteidigung,verteid,,,,,,[],negative,0.0,negative,0.0,neutral,,neutral,neutral
177,klimawendehals,wendehals,"['wendehälsen', 'wendehalses', 'wendehälse', 'wendehals', 'wendehalse']",wendehals,m,"['klimawendehälsen', 'klimawendehalses', 'klimawendehälse', 'klimawendehals', 'klimawendehalse']","['Gesinnungsakrobat', 'Handlanger', 'williger Vollstrecker', 'Mitläufer', 'Fahnenflüchtiger', 'Wes Brot ich ess, des Lied ich sing.', 'Ja-Sager', 'Überläufer', 'Konformist', 'Abtrünniger', 'Opportunist', 'Quisling', 'sein Fähnlein nach dem Winde drehen', 'Erfüllungsgehilfe', 'Fahnenflüchtling', 'Radfahrer', 'Abnicker', 'Deserteur', 'Verräter', 'Wendehals', 'Jasager', 'Gesinnungslump']","['Haderlump', 'übles Subjekt', 'Fötzel', 'Schurke', 'Sinnspruch', 'Gauner', 'Sprichwort', 'fieser Finger', 'Canaille', 'Merkspruch', 'Übelmann', 'Strolch', 'Lump', 'Schlitzohr', 'Halunke', 'Unhold', 'Tunichtgut', 'Schuft', 'Kanaille', 'Schubiack', 'Sager', 'Spruch', 'Missetäter', 'Bösewicht', 'Frevler', 'krummer Hund', 'Übeltäter', 'Spitzbube']","['Strolch', 'Tunichtgut', 'Fötzel', 'Schuft', 'Schubiack', 'Unhold', 'Übeltäter', 'Halunke', 'Lump', 'Gauner', 'Missetäter', 'Kanaille', 'Schlitzohr', 'Haderlump', 'Spitzbube', 'krummer Hund', 'Übelmann', 'übles Subjekt', 'fieser Finger', 'Schurke', 'Bösewicht', 'Frevler', 'Canaille', 'Kunstgriff', 'Schachzug', 'Finesse', 'Praktik', 'Kniff', 'richtige Dreh', 'Kunststück', 'genialer Trick', 'trickreiche Methode', 'Trick siebzehn', 'Dreh', 'Handgriff', 'Technik', 'Trick 17']","['defector', 'deserter', 'offender', 'wrongdoer', 'bad person', 'soul', 'person', 'someone', 'mortal', 'individual', 'somebody', 'being', 'organism', 'animate thing', 'living thing', 'unit', 'whole', 'physical object', 'object', 'physical entity', 'entity', 'defector', 'deserter', 'offender', 'wrongdoer', 'bad person', 'soul', 'person', 'someone', 'mortal', 'individual', 'somebody', 'being', 'organism', 'cause', 'causal agent', 'causal agency', 'physical entity', 'entity']",person,"['jemand, der rebelliert und ein Geächteter wird', 'ein angestellter Arbeiter auf einem Bauernhof oder einer Ranch']",[],[],wendehal,wendeh,wendeh,wendehal,,,,,,[],negative,0.0,negative,0.0,neutral,,neutral,neutral
178,klimazar,zar,"['zar', 'zaren']",zar,m,"['klimazar', 'klimazaren']","['Augustus', 'Tenno', 'Caesar', 'Cäsar', 'Imperator', 'Zar', 'Kaiser']",[],[],"['sovereign', 'crowned head', 'monarch', 'ruler', 'swayer', 'soul', 'person', 'someone', 'mortal', 'individual', 'somebody', 'being', 'organism', 'animate thing', 'living thing', 'unit', 'whole', 'physical object', 'object', 'physical entity', 'entity', 'sovereign', 'crowned head', 'monarch', 'ruler', 'swayer', 'soul', 'person', 'someone', 'mortal', 'individual', 'somebody', 'being', 'organism', 'cause', 'causal agent', 'causal agency', 'physical entity', 'entity', 'sovereign', 'crowned head', 'monarch', 'head of state', 'chief of state', 'representative', 'negotiator', 'negotiant', 'treater', 'communicator', 'soul', 'person', 'someone', 'mortal', 'individual', 'somebody', 'being', 'organism', 'animate thing', 'living thing', 'unit', 'whole', 'physical object', 'object', 'physical entity', 'entity', 'sovereign', 'crowned head', 'monarch', 'head of state', 'chief of state', 'representative', 'negotiator', 'negotiant', 'treater', 'communicator', 'soul', 'person', 'someone', 'mortal', 'individual', 'somebody', 'being', 'organism', 'cause', 'causal agent', 'causal agency', 'physical entity', 'entity']",person,['der männliche Herrscher eines Reiches'],[],[],zar,zar,zar,zar,,,,,,[],negative,0.0,positive,0.0,neutral,,neutral,neutral
179,klimazeugs,zeugs,['zeugs'],zeugs,n,['klimazeugs'],"['Nippes', 'Trödel', 'Graffel', 'Plunder', 'Schnickschnack', 'Gesumsel', 'Schrott', 'Kladderadatsch', 'Krimskrams', 'Grusch', 'Zeugs', 'Krempel', 'Kramuri', 'Glumpert', 'Tand', 'Gelumpe', 'Kram', 'Plörren', 'Klüngel', 'Klimbim', 'Klumpert', 'Krusch(t)', 'Gerümpel', 'Zinnober', 'Gedöns', '(wertloses) Zeug', 'Tinnef', 'Mist', 'Ramsch', 'Geraffel', 'Müll', 'Firlefanz']","['sich wälzen', 'hin und her rollen', 'sich herumwälzen', 'sich suhlen']","['Stand', 'Messestand']","['receptacle', 'container', 'instrumentality', 'instrumentation', 'means', 'artifact', 'artefact', 'unit', 'whole', 'physical object', 'object', 'physical entity', 'entity']",person,"['ein Gefäß, in dem Abfälle entsorgt werden können']",[],[],zeug,zeug,zeug,zeug,,,,,,[],negative,0.0,negative,0.0,neutral,,neutral,neutral
180,klimazunft,zunft,"['zünfte', 'zunft', 'zünften']",zunft,f,"['klimazünfte', 'klimazunft', 'klimazünften']","['Gewerbe', 'Gilde', 'Innung', 'Gewerk', 'Zunft', 'Amt', 'Berufsstand']","['Arbeitsgemeinschaft', 'Arbeitskreis', 'Arbeitsgruppe', 'Fachgruppe', 'Projektgruppe']","['Gestaltung', 'Erreichung', 'Realisierung', 'Verwirklichung', 'Umsetzung', 'Entwicklung']",[],,"[None, 'die Handlungen und Tätigkeiten, die einer Person oder einer Gruppe zugewiesen oder von ihr verlangt oder erwartet werden', None]",[],[],zunf,zunft,zunft,zunft,,,,,,[],negative,0.0,negative,0.0,neutral,,neutral,neutral
