original,second_part,lemma,genus,compound_forms,concept,definition,similar_words,PERS_pro,ORG_pro,PERS_con,ORG_con,pro_mods,con_mods,pro_sarcasm,con_sarcasm,pro_attr,con_attr,tf_pro,tf_con,tfidf_pro,tfidf_con,pro_colls,con_colls,manual_sentiment,article,full_definition
klimamacher,macher,macher,m,"['klimamachern', 'klimamacher', 'klimamachers']",,"['jede Einheit, die eine Wirkung hervorruft oder für Ereignisse oder Ergebnisse verantwortlich ist', 'eine Person, die handelt und Dinge erledigt']","['aktivist', 'demagoge', 'milliardär']","Counter({'Rainer Klingholz': 1, 'Claudia Kemfert': 1, 'Hartmut Graßl': 1})","Counter({'Weltorganisation für Meteorologie': 1, 'Universität Oldenburg': 1})",,,Counter(),,0.0,,,,1,0,0.0,0.0,[],[],neutral,der,"Klimamacher, der
 In unserem Korpus Sample ist der Begriff tendenziell neutral konnotiert. Im Zusammenhang mit dem Begriff erwähnt der Skeptiker Korpus die Person(en) der Vertreter Korpus Rainer Klingholz, Claudia Kemfert. Im Kontext von ""Klimamacher"" erfolgt die Nennung folgender Organisation(en): Weltorganisation für Meteorologie, Universität Oldenburg (Vertreter Korpus).

Siehe auch: Klimaaktivist, Klimademagoge, Klimamilliardär"
klimamafia,mafia,mafia,f,"['klimamafias', 'klimamafia']",group,"['ein Verbrechersyndikat in den Vereinigten Staaten; in Familien organisiert; es wird angenommen, dass es wichtige Beziehungen zur sizilianischen Mafia hat', 'Kriminelle Gruppe.']",[],,,"Counter({'Angela Merkel': 2, 'Naomi Oreskes': 2, 'Bill McKibben': 2, 'Greta Thunberg': 1, 'Christian Möser': 1, 'Harald Lesch': 1})","Counter({'Exxon': 2, 'UN': 1, 'EIKE': 1, 'NASA': 1})",,"Counter({'Zürcher': 1, 'gebürstet': 1})",,0.0833333333333333,,Fremdzuschreibung,0,13,0.0,0.16219303428966,[],[],negativ,die,"Klimamafia, die
Der Begriff ""Klimamafia"" bezeichnet einen Zusammenschluss von Personen im Bezug auf den Klimawandel. Der Begriff wird in unserem Korpus 13 Mal von den Klimaforschungsskeptikern und 0 Mal von den Klimaforschungsvertretern verwendet. Auf den gesamten Korpus gesehen entspricht das einer relativen Häufigkeit (TF-IDF) von 0.16 für die Skeptiker und 0.0 für die Vertreter. Verwendet wird ""Klimamafia"" hierbei im Sinne einer Fremdzuschreibung von Seiten der Skeptiker. In 8% der Fälle wird die Verwendung als sarkatisch eingestuft. In unserem Korpus Sample ist der Begriff tendenziell negativ konnotiert. Im Zusammenhang mit dem Begriff erwähnt der Skeptiker Korpus die Person(en) Angela Merkel und Naomi Oreskes. Im Kontext von ""Klimamafia"" erfolgt die Nennung folgender Organisation(en): Exxon, UN (Skeptiker Korpus)."
klimamahnwache,mahnwache,mahnwache,f,"['klimamahnwachen', 'klimamahnwache']",abstraction,[],[],"Counter({'Lilly Herkling': 2, 'Karl Bever': 2})","Counter({'Holzmarkt Kaarst': 2, 'Franziskusplatz Fritzlar': 2, 'Daimler': 2, 'Uni Hildesheim': 2, 'Dorsten Mercaden': 2, 'OnlineDemo': 2, 'Rees Plakataktion': 2, 'Denkmalplatz Mahnwache Leipzig': 2, 'SBahn': 2})",,,Counter(),,0.0,,,,4,0,0.0230691843035464,0.0,"['Infopoint', 'Rathaus', 'Brunnen']",[],neutral,die,"Klimamahnwache, die
Der Begriff ""Klimamahnwache"" bezeichnet ein Konzept in Relation zum Klimawandel. Der Begriff wird in unserem Korpus 0 Mal von den Klimaforschungsskeptikern und 4 Mal von den Klimaforschungsvertretern verwendet. Auf den gesamten Korpus gesehen entspricht das einer relativen Häufigkeit (TF-IDF) von 0.0 für die Skeptiker und 0.02 für die Vertreter. In unserem Korpus Sample ist der Begriff tendenziell neutral konnotiert. Im Zusammenhang mit dem Begriff erwähnt der Skeptiker Korpus die Person(en) der Vertreter Korpus Lilly Herkling, Karl Bever. Im Kontext von ""Klimamahnwache"" erfolgt die Nennung folgender Organisation(en): Holzmarkt Kaarst, Franziskusplatz Fritzlar (Vertreter Korpus).
Häufige Kollokationen:  'Infopoint', 'Brunnen' (Vertreter)"
klimamanipulation,manipulation,manipulation,f,"['klimamanipulationen', 'klimamanipulation']",action,"['der Akt der Täuschung', 'die heimliche oder unsachgemäße Veränderung von etwas', 'die Vermischung mit Fremdstoffen; das Produkt der Verfälschung', 'geschickte oder hinterhältige Einflussnahme, insbesondere zum eigenen Vorteil', 'eine irreführende Unwahrheit', 'der Akt der Herbeiführung von Hypnose', '(Informatik) Datenverarbeitung, bei der das Ergebnis durch eine Regel vollständig spezifiziert ist (insbesondere die Verarbeitung, die sich aus einer einzigen Anweisung ergibt)', 'die Berührung mit den Händen (oder der geschickte Einsatz der Hände) oder durch den Einsatz mechanischer Mittel']",[],,,Counter({'Kevin Trenberth': 1}),,,Counter(),,0.0,,,0,1,0.0,0.0,[],[],negativ,die,"Klimamanipulation, die
Der Begriff ""Klimamanipulation"" bezeichnet eine Aktion im Bezug auf den Klimawandel. Der Begriff wird in unserem Korpus 1 Mal von den Klimaforschungsskeptikern und 0 Mal von den Klimaforschungsvertretern verwendet. Auf den gesamten Korpus gesehen entspricht das einer relativen Häufigkeit (TF-IDF) von 0.0 für die Skeptiker und 0.0 für die Vertreter. In unserem Korpus Sample ist der Begriff tendenziell negativ konnotiert. Im Zusammenhang mit dem Begriff erwähnt der Skeptiker Korpus die Person(en) Kevin Trenberth."
klimamantra,mantra,mantra,n,"['klimamantra', 'klimamantras', 'klimamantren']",abstraction,"['ein Lieblingsspruch einer Gruppe, Organisation oder Einzelperson', 'die Reihenfolge der Wörter in einem Text', '(Sanskrit) wörtlich eine ""heilige Äußerung"" im Vedismus; eine Sammlung von mündlich überlieferten poetischen Hymnen', 'ein häufig wiederholtes Wort oder eine häufig wiederholte Phrase']",[],,,,Counter({'Spiegel': 2}),,Counter(),,0.0,,,0,2,0.0,0.0191856694893927,[],"['schon', 'laufen']",neutral,das,"Klimamantra, das
Der Begriff ""Klimamantra"" bezeichnet ein Konzept in Relation zum Klimawandel. Der Begriff wird in unserem Korpus 2 Mal von den Klimaforschungsskeptikern und 0 Mal von den Klimaforschungsvertretern verwendet. Auf den gesamten Korpus gesehen entspricht das einer relativen Häufigkeit (TF-IDF) von 0.02 für die Skeptiker und 0.0 für die Vertreter. In unserem Korpus Sample ist der Begriff tendenziell neutral konnotiert. Im Kontext von ""Klimamantra"" erfolgt die Nennung folgender Organisation(en): Spiegel (Skeptiker Korpus).
Häufige Kollokationen: 'laufen', 'schon' (Skeptiker) "
klimamilliardär,milliardär,milliardär,m,"['klimamilliardär', 'klimamilliardären', 'klimamilliardäre', 'klimamilliardärs']",person,['ein Beutel mit Kordel zum Aufbewahren von Geld'],['macher'],,,"Counter({'Harald Lesch': 1, 'Anders Levermann': 1, 'Ottmar Edenhofer': 1})","Counter({'Neue Zürcher Zeitung': 1, 'PIK': 1})",,Counter({'erster': 2}),,0.0,,Fremdzuschreibung,0,2,0.0,0.0156966951518003,[],['erster'],negativ,der,"Klimamilliardär, der
Der Begriff ""Klimamilliardär"" bezeichnet eine Person, die eine Haltung zum Klimawandel einnimmt. Der Begriff wird in unserem Korpus 2 Mal von den Klimaforschungsskeptikern und 0 Mal von den Klimaforschungsvertretern verwendet. Auf den gesamten Korpus gesehen entspricht das einer relativen Häufigkeit (TF-IDF) von 0.02 für die Skeptiker und 0.0 für die Vertreter. Verwendet wird ""Klimamilliardär"" hierbei im Sinne einer Fremdzuschreibung von Seiten der Skeptiker. In 0% der Fälle wird die Verwendung als sarkatisch eingestuft. In unserem Korpus Sample ist der Begriff tendenziell negativ konnotiert. Modifizierer wie 'erster' treten häufig auf, um den Begriff im Subdiskurs der Klimaforschungsskeptiker näher zu beschreiben. Im Zusammenhang mit dem Begriff erwähnt der Skeptiker Korpus die Person(en) Harald Lesch und Anders Levermann. Im Kontext von ""Klimamilliardär"" erfolgt die Nennung folgender Organisation(en): Neue Zürcher Zeitung, PIK (Skeptiker Korpus).

Siehe auch: Klimamacher
Häufige Kollokationen: 'erster' (Skeptiker) "
klimamisere,misere,misere,f,"['klimamiseren', 'klimamisere']",abstraction,"['eine Situation, aus der es schwierig ist, sich zu befreien, insbesondere eine unangenehme oder schwierige Situation', 'unnötige und unvorhergesehene Schwierigkeiten infolge eines unglücklichen Ereignisses', 'das völlige Missmanagement oder die falsche Handhabung einer Situation', None]",[],,,,,,Counter(),,1.0,,,0,1,0.0,0.0,[],[],neutral,die,"Klimamisere, die
Der Begriff ""Klimamisere"" bezeichnet ein Konzept in Relation zum Klimawandel. Der Begriff wird in unserem Korpus 1 Mal von den Klimaforschungsskeptikern und 0 Mal von den Klimaforschungsvertretern verwendet. Auf den gesamten Korpus gesehen entspricht das einer relativen Häufigkeit (TF-IDF) von 0.0 für die Skeptiker und 0.0 für die Vertreter. In unserem Korpus Sample ist der Begriff tendenziell neutral konnotiert."
klimamonster,monster,monster,n,"['klimamonster', 'klimamonstern', 'klimamonsters']",person,"['eine grausam raubgierige Person', 'eine Person, die eine Verpackung öffnet oder auswickelt', 'eine grausame, bösartige und unmenschliche Person']",['teufel'],,,,Counter({'UN': 1}),,Counter({'unmöglich': 1}),,0.0,,Fremdzuschreibung,0,1,0.0,0.0,[],[],negativ,das,"Klimamonster, das
Der Begriff ""Klimamonster"" bezeichnet eine Person, die eine Haltung zum Klimawandel einnimmt. Der Begriff wird in unserem Korpus 1 Mal von den Klimaforschungsskeptikern und 0 Mal von den Klimaforschungsvertretern verwendet. Auf den gesamten Korpus gesehen entspricht das einer relativen Häufigkeit (TF-IDF) von 0.0 für die Skeptiker und 0.0 für die Vertreter. Verwendet wird ""Klimamonster"" hierbei im Sinne einer Fremdzuschreibung von Seiten der Skeptiker. In 0% der Fälle wird die Verwendung als sarkatisch eingestuft. In unserem Korpus Sample ist der Begriff tendenziell negativ konnotiert. Im Kontext von ""Klimamonster"" erfolgt die Nennung folgender Organisation(en): UN (Skeptiker Korpus).

Siehe auch: Klimateufel"
klimamutti,mutti,mutti,f,"['klimamuttis', 'klimamutti']",person,"['eine Frau, die ein Kind geboren hat', 'Eine weibliche Person.', 'eine junge Frau']",[],,,,Counter({'Die Grünen': 1}),,Counter(),,0.0,,Fremdzuschreibung,0,1,0.0,0.0,[],[],negativ,die,"Klimamutti, die
Der Begriff ""Klimamutti"" bezeichnet eine Person, die eine Haltung zum Klimawandel einnimmt. Der Begriff wird in unserem Korpus 1 Mal von den Klimaforschungsskeptikern und 0 Mal von den Klimaforschungsvertretern verwendet. Auf den gesamten Korpus gesehen entspricht das einer relativen Häufigkeit (TF-IDF) von 0.0 für die Skeptiker und 0.0 für die Vertreter. Verwendet wird ""Klimamutti"" hierbei im Sinne einer Fremdzuschreibung von Seiten der Skeptiker. In 0% der Fälle wird die Verwendung als sarkatisch eingestuft. In unserem Korpus Sample ist der Begriff tendenziell negativ konnotiert. Im Kontext von ""Klimamutti"" erfolgt die Nennung folgender Organisation(en): Die Grünen (Skeptiker Korpus)."
klimamärchenonkel,märchenonkel,märchenonkel,m,"['klimamärchenonkeln', 'klimamärchenonkels', 'klimamärchenonkel']",person,[None],[],,,,"Counter({'IPCC': 1, 'ARD': 1})",,Counter(),,0.0,,Fremdzuschreibung,0,2,0.0,0.0156966951518003,[],[],neutral,der,"Klimamärchenonkel, der
Der Begriff ""Klimamärchenonkel"" bezeichnet eine Person, die eine Haltung zum Klimawandel einnimmt. Der Begriff wird in unserem Korpus 2 Mal von den Klimaforschungsskeptikern und 0 Mal von den Klimaforschungsvertretern verwendet. Auf den gesamten Korpus gesehen entspricht das einer relativen Häufigkeit (TF-IDF) von 0.02 für die Skeptiker und 0.0 für die Vertreter. Verwendet wird ""Klimamärchenonkel"" hierbei im Sinne einer Fremdzuschreibung von Seiten der Skeptiker. In 0% der Fälle wird die Verwendung als sarkatisch eingestuft. In unserem Korpus Sample ist der Begriff tendenziell neutral konnotiert. Im Kontext von ""Klimamärchenonkel"" erfolgt die Nennung folgender Organisation(en): IPCC, ARD (Skeptiker Korpus)."
klimanationalismus,nationalismus,nationalismus,m,"['klimanationalismen', 'klimanationalismus']",abstraction,"['das Streben nach nationaler Unabhängigkeit, das von Menschen unter fremder Herrschaft empfunden wird']",[],"Counter({'Yannick Passeick': 3, 'Lukas Nicolaisen': 2, 'Klara Kauhausen': 1, 'Max Goldenbaum': 1, 'Alex Lubin': 1, 'Françoise Vergès': 1, 'Nene Opoku': 1, 'Gaye Theresa Johnson': 1, 'Natascha Strobl': 1, 'Tobias Haas': 1, 'Jonas Voß': 1, 'Jonas Duhme': 1, 'Anna Rosga': 1})","Counter({'FARN': 3, 'Naturfreunde': 2, 'AntiAKWBewegung': 2, 'Open Knowledge Foundation e.V': 1, 'GoetheUniversität Frankfurt am Main': 1, 'Wissenschaftszentrum Berlin': 1, 'FFU': 1, 'Forschungszentrum für Umweltpolitik': 1, 'FU Berlin': 1, 'www.fr.de': 1, 'Tagesspiegel': 1, 'Frankfurter Rundschau': 1, 'Naturfreundejugend Deutschlands': 1, 'Fachstelle Radikalisierungsprävention': 1, 'Global Change Newsletter': 1, 'WDR': 1, 'ÖkoMagazin': 1, 'Juventa': 1, 'WestfalenBlatt': 1, 'www.adelphi.de': 1, 'Institut für transformative Nachhaltigkeitsforschung': 1, 'IASS': 1, 'NPD': 1, 'Eigenverlag': 1})","Counter({'Olaf Scholz': 1, 'Angela Merkel': 1})","Counter({'IEA': 1, 'TE': 1, 'Bundestag': 1, 'EU': 1})",Counter(),Counter({'deutsch': 1}),0.0,0.0,,,12,1,0.0722037977148938,0.0,['Klimawandelleugnung'],[],neutral,der,"Klimanationalismus, der
Der Begriff ""Klimanationalismus"" bezeichnet ein Konzept in Relation zum Klimawandel. Der Begriff wird in unserem Korpus 1 Mal von den Klimaforschungsskeptikern und 12 Mal von den Klimaforschungsvertretern verwendet. Auf den gesamten Korpus gesehen entspricht das einer relativen Häufigkeit (TF-IDF) von 0.0 für die Skeptiker und 0.07 für die Vertreter. In unserem Korpus Sample ist der Begriff tendenziell neutral konnotiert. Im Zusammenhang mit dem Begriff erwähnt der Skeptiker Korpus die Person(en) Olaf Scholz und Angela Merkel und der Vertreter Korpus Yannick Passeick und Lukas Nicolaisen. Im Kontext von ""Klimanationalismus"" erfolgt die Nennung folgender Organisation(en): IEA, TE (Skeptiker Korpus) und FARN, Naturfreunde (Vertreter Korpus).
Häufige Kollokationen:  'Klimawandelleugnung' (Vertreter)"
klimanonsens,nonsens,nonsens,m,"['klimanonsens', 'klimanonsenses']",abstraction,"['eine komische Begebenheit oder eine Reihe von Begebenheiten', 'unsinniges Gerede oder Schreiben']",[],,,,"Counter({'SPD': 1, 'Linke': 1, 'AFD': 1})",,Counter(),,0.0,,,0,1,0.0,0.0,[],[],negativ,der,"Klimanonsens, der
Der Begriff ""Klimanonsens"" bezeichnet ein Konzept in Relation zum Klimawandel. Der Begriff wird in unserem Korpus 1 Mal von den Klimaforschungsskeptikern und 0 Mal von den Klimaforschungsvertretern verwendet. Auf den gesamten Korpus gesehen entspricht das einer relativen Häufigkeit (TF-IDF) von 0.0 für die Skeptiker und 0.0 für die Vertreter. In unserem Korpus Sample ist der Begriff tendenziell negativ konnotiert. Im Kontext von ""Klimanonsens"" erfolgt die Nennung folgender Organisation(en): SPD, Linke (Skeptiker Korpus)."
klimanotfall,notfall,notfall,m,"['klimanotfälle', 'klimanotfällen', 'klimanotfalls', 'klimanotfalles', 'klimanotfalle', 'klimanotfall']",abstraction,['eine schlechte oder schwierige Situation oder Lage'],['notlage'],,,"Counter({'Allan MacRae': 1, 'Joseph Kraig': 1, 'Stefan Rahmstorf': 1})","Counter({'American Meteorological Society': 1, 'ABC': 1, 'The Australian': 1, 'Spiegel': 1, 'IPCC': 1})",,Counter({'kein': 2}),,0.5,,,0,6,0.0,0.0716249048365728,[],"['gekocht', 'geben']",negativ,der,"Klimanotfall, der
Der Begriff ""Klimanotfall"" bezeichnet ein Konzept in Relation zum Klimawandel. Der Begriff wird in unserem Korpus 6 Mal von den Klimaforschungsskeptikern und 0 Mal von den Klimaforschungsvertretern verwendet. Auf den gesamten Korpus gesehen entspricht das einer relativen Häufigkeit (TF-IDF) von 0.07 für die Skeptiker und 0.0 für die Vertreter. In unserem Korpus Sample ist der Begriff tendenziell negativ konnotiert. Modifizierer wie 'kein' treten häufig auf, um den Begriff im Subdiskurs der Klimaforschungsskeptiker näher zu beschreiben. Im Zusammenhang mit dem Begriff erwähnt der Skeptiker Korpus die Person(en) Allan MacRae und Joseph Kraig. Im Kontext von ""Klimanotfall"" erfolgt die Nennung folgender Organisation(en): American Meteorological Society, ABC (Skeptiker Korpus).

Siehe auch: Klimanotlage
Häufige Kollokationen: 'geben', 'gekocht' (Skeptiker) "
klimanotlage,notlage,notlage,f,"['klimanotlage', 'klimanotlagen']",abstraction,"['eine schlechte oder schwierige Situation oder Lage', 'ein Zustand des Unwohlseins aufgrund von Leid oder Unglück', None, 'ein Zustand oder eine Situation, die man kaum bewältigen kann und die große Anstrengungen erfordert, um sie zu ertragen oder zu überwinden']",['notfall'],,,Counter({'Claudia Kemfert': 3}),"Counter({'PIK': 3, 'SPD': 1, 'Linke': 1, 'Die Grünen': 1})",,Counter({'sogenannter': 1}),,0.0,,,0,6,0.0,0.0716249048365728,[],"['rotgrünrot', 'Bremen']",negativ,die,"Klimanotlage, die
Der Begriff ""Klimanotlage"" bezeichnet ein Konzept in Relation zum Klimawandel. Der Begriff wird in unserem Korpus 6 Mal von den Klimaforschungsskeptikern und 0 Mal von den Klimaforschungsvertretern verwendet. Auf den gesamten Korpus gesehen entspricht das einer relativen Häufigkeit (TF-IDF) von 0.07 für die Skeptiker und 0.0 für die Vertreter. In unserem Korpus Sample ist der Begriff tendenziell negativ konnotiert. Im Zusammenhang mit dem Begriff erwähnt der Skeptiker Korpus die Person(en) Claudia Kemfert. Im Kontext von ""Klimanotlage"" erfolgt die Nennung folgender Organisation(en): PIK, SPD (Skeptiker Korpus).

Siehe auch: Klimanotfall
Häufige Kollokationen: 'rotgrünrot', 'Bremen' (Skeptiker) "
klimanotstandsregierung,notstandsregierung,notstandsregierung,f,"['klimanotstandsregierung', 'klimanotstandsregierungen']",group,[],[],"Counter({'Angela Picciariello': 1, 'Elena Köhn': 1, 'Carroll Muffett': 1})","Counter({'Overseas Development Institute': 1, 'IISD': 1, 'ODI': 1, 'Exxon': 1, 'WDR': 1, 'Shell': 1, 'BP': 1})",,,"Counter({'gut': 2, 'noch': 2, 'global': 1, 'autokratisch': 1})",,0.0,,Selbstzuschreibung,,6,0,0.0505125650531423,0.0,['gut'],[],negativ,die,"Klimanotstandsregierung, die
Der Begriff ""Klimanotstandsregierung"" bezeichnet einen Zusammenschluss von Personen im Bezug auf den Klimawandel. Der Begriff wird in unserem Korpus 0 Mal von den Klimaforschungsskeptikern und 6 Mal von den Klimaforschungsvertretern verwendet. Auf den gesamten Korpus gesehen entspricht das einer relativen Häufigkeit (TF-IDF) von 0.0 für die Skeptiker und 0.05 für die Vertreter. Verwendet wird ""Klimanotstandsregierung"" hierbei im Sinne einer Selbstzuschreibung von Seiten der Vertreter. In 0% der Fälle wird die Verwendung als sarkatisch eingestuft. In unserem Korpus Sample ist der Begriff tendenziell negativ konnotiert. Im Subdiskurs der Klimaforschungsvertreter wird der Begriff von Wörtern wie 'gut' und 'noch' modifiziert. Im Zusammenhang mit dem Begriff erwähnt der Skeptiker Korpus die Person(en) der Vertreter Korpus Angela Picciariello, Elena Köhn. Im Kontext von ""Klimanotstandsregierung"" erfolgt die Nennung folgender Organisation(en): Overseas Development Institute, IISD (Vertreter Korpus).
Häufige Kollokationen:  'gut' (Vertreter)"
klimaorthodoxie,orthodoxie,orthodoxie,f,['klimaorthodoxie'],abstraction,"['die Eigenschaft, orthodox zu sein (insbesondere in der Religion)']",[],,,,,,Counter(),,0.0,,,0,3,0.0,0.0331378774723968,[],[],neutral,die,"Klimaorthodoxie, die
Der Begriff ""Klimaorthodoxie"" bezeichnet ein Konzept in Relation zum Klimawandel. Der Begriff wird in unserem Korpus 3 Mal von den Klimaforschungsskeptikern und 0 Mal von den Klimaforschungsvertretern verwendet. Auf den gesamten Korpus gesehen entspricht das einer relativen Häufigkeit (TF-IDF) von 0.03 für die Skeptiker und 0.0 für die Vertreter. In unserem Korpus Sample ist der Begriff tendenziell neutral konnotiert."
klimapanik,panik,panik,f,"['klimapanik', 'klimapaniken']",abstraction,['plötzliche massive Angst und Beunruhigung vor erwarteten Ereignissen'],[],"Counter({'Wolf Dieter Storl': 1, 'Karl Popper': 1})","Counter({'FFF': 2, 'TU Berlin': 1, 'ECI': 1})","Counter({'Michael Shellenberger': 3, 'Harald Lesch': 2, 'Gunnar Kaiser': 2, 'Ivar Giaever': 2, 'Christian Endt': 2, 'Bjørn Lomborg': 2, 'Milan Viethen': 1, 'Luisa Neubauer': 1, 'Greta Thunberg': 1, 'Barack Obama': 1, 'Roy Spencer': 1, 'Patrick Michaels': 1, 'Tony Heller': 1, 'Henrik Svensmark': 1, 'James Hansen': 1, 'Paul Ehrlich': 1, 'Anthony Watts': 1, 'Fritz Vahrenholt': 1})","Counter({'Spiegel': 3, 'IPCC': 2, 'Die Grünen': 1, 'EIKE': 1, 'KGB': 1, 'Forbes': 1, 'Amnesty International': 1, 'ACHGUT': 1, 'CDU': 1, 'NASA': 1})",Counter({'initiiert': 1}),"Counter({'schon': 1, 'reversibel': 1, 'jederzeit': 1, 'öffentlich': 1, 'unhaltbar': 1, 'wissenschaftlich': 1, 'ungeniert': 1, 'kein': 1})",0.0,0.0,,,2,12,0.0082929243285437,0.148240826306656,[],"['Kind', 'Auswirkung']",neutral,die,"Klimapanik, die
Der Begriff ""Klimapanik"" bezeichnet ein Konzept in Relation zum Klimawandel. Der Begriff wird in unserem Korpus 12 Mal von den Klimaforschungsskeptikern und 2 Mal von den Klimaforschungsvertretern verwendet. Auf den gesamten Korpus gesehen entspricht das einer relativen Häufigkeit (TF-IDF) von 0.15 für die Skeptiker und 0.01 für die Vertreter. In unserem Korpus Sample ist der Begriff tendenziell neutral konnotiert. Im Zusammenhang mit dem Begriff erwähnt der Skeptiker Korpus die Person(en) Michael Shellenberger und Harald Lesch und der Vertreter Korpus Wolf Dieter Storl und Karl Popper. Im Kontext von ""Klimapanik"" erfolgt die Nennung folgender Organisation(en): Spiegel, IPCC (Skeptiker Korpus) und FFF, TU Berlin (Vertreter Korpus).
Häufige Kollokationen: 'Kind', 'Auswirkung' (Skeptiker) "
klimapanikmache,panikmache,panikmache,f,['klimapanikmache'],action,[None],[],,,"Counter({'Ivar Giaever': 2, 'Christian Endt': 2, 'Milan Viethen': 1, 'Harald Lesch': 1, 'Gunnar Kaiser': 1, 'Luisa Neubauer': 1, 'Greta Thunberg': 1})","Counter({'Spiegel': 2, 'KGB': 1, 'Amnesty International': 1})",,Counter(),,0.0,,,0,4,0.0,0.0464972214860532,[],"['gefallen', 'aktiv']",negativ,die,"Klimapanikmache, die
Der Begriff ""Klimapanikmache"" bezeichnet eine Aktion im Bezug auf den Klimawandel. Der Begriff wird in unserem Korpus 4 Mal von den Klimaforschungsskeptikern und 0 Mal von den Klimaforschungsvertretern verwendet. Auf den gesamten Korpus gesehen entspricht das einer relativen Häufigkeit (TF-IDF) von 0.05 für die Skeptiker und 0.0 für die Vertreter. In unserem Korpus Sample ist der Begriff tendenziell negativ konnotiert. Im Zusammenhang mit dem Begriff erwähnt der Skeptiker Korpus die Person(en) Ivar Giaever und Christian Endt. Im Kontext von ""Klimapanikmache"" erfolgt die Nennung folgender Organisation(en): Spiegel, KGB (Skeptiker Korpus).
Häufige Kollokationen: 'gefallen', 'aktiv' (Skeptiker) "
klimapapst,papst,papst,m,"['klimapäpsten', 'klimapapst', 'klimapapsts', 'klimapapste', 'klimapäpste', 'klimapapstes']",person,['das Oberhaupt der römisch-katholischen Kirche'],"['papst', 'päpstin']",,,"Counter({'Holger Narrog': 1, 'Angela Merkel': 1})","Counter({'FDP': 1, 'Die Grünen': 1, 'UNEP': 1, 'PIK': 1, 'EIKE': 1})",,Counter(),,0.4,,Fremdzuschreibung,0,7,0.0,0.0808322544578514,[],['Schellnhuber'],negativ,der,"Klimapapst, der
Der Begriff ""Klimapapst"" bezeichnet eine Person, die eine Haltung zum Klimawandel einnimmt. Der Begriff wird in unserem Korpus 7 Mal von den Klimaforschungsskeptikern und 0 Mal von den Klimaforschungsvertretern verwendet. Auf den gesamten Korpus gesehen entspricht das einer relativen Häufigkeit (TF-IDF) von 0.08 für die Skeptiker und 0.0 für die Vertreter. Verwendet wird ""Klimapapst"" hierbei im Sinne einer Fremdzuschreibung von Seiten der Skeptiker. In 40% der Fälle wird die Verwendung als sarkatisch eingestuft. In unserem Korpus Sample ist der Begriff tendenziell negativ konnotiert. Im Zusammenhang mit dem Begriff erwähnt der Skeptiker Korpus die Person(en) Holger Narrog und Angela Merkel. Im Kontext von ""Klimapapst"" erfolgt die Nennung folgender Organisation(en): FDP, Die Grünen (Skeptiker Korpus).

Siehe auch: Klimapäpstin
Häufige Kollokationen: 'Schellnhuber' (Skeptiker) "
klimaparadies,paradies,paradies,n,"['klimaparadiese', 'klimaparadiesen', 'klimaparadieses', 'klimaparadies']",abstraction,"['Leben nach dem Tod', 'ein Schutzraum, der als Ort der Sicherheit oder der Zuflucht dient']",[],,,Counter({'Valentina Zharkova': 1}),,,Counter(),,0.0,,,0,1,0.0,0.0,[],[],neutral,das,"Klimaparadies, das
Der Begriff ""Klimaparadies"" bezeichnet ein Konzept in Relation zum Klimawandel. Der Begriff wird in unserem Korpus 1 Mal von den Klimaforschungsskeptikern und 0 Mal von den Klimaforschungsvertretern verwendet. Auf den gesamten Korpus gesehen entspricht das einer relativen Häufigkeit (TF-IDF) von 0.0 für die Skeptiker und 0.0 für die Vertreter. In unserem Korpus Sample ist der Begriff tendenziell neutral konnotiert. Im Zusammenhang mit dem Begriff erwähnt der Skeptiker Korpus die Person(en) Valentina Zharkova."
klimapflicht,pflicht,pflicht,f,"['klimapflichten', 'klimapflicht']",abstraction,"['was getan werden muss, was von einem verlangt oder erwartet wird']",[],,,,,,Counter(),,0.0,,,0,1,0.0,0.0,[],[],neutral,die,"Klimapflicht, die
Der Begriff ""Klimapflicht"" bezeichnet ein Konzept in Relation zum Klimawandel. Der Begriff wird in unserem Korpus 1 Mal von den Klimaforschungsskeptikern und 0 Mal von den Klimaforschungsvertretern verwendet. Auf den gesamten Korpus gesehen entspricht das einer relativen Häufigkeit (TF-IDF) von 0.0 für die Skeptiker und 0.0 für die Vertreter. In unserem Korpus Sample ist der Begriff tendenziell neutral konnotiert."
klimaplanwirtschaft,planwirtschaft,planwirtschaft,f,"['klimaplanwirtschaft', 'klimaplanwirtschaften']",group,"['eine nicht marktwirtschaftliche Wirtschaft, in der staatliche Eingriffe bei der Zuweisung von Gütern und Ressourcen und der Festlegung von Preisen eine wichtige Rolle spielen']",[],,,,,,Counter(),,0.0,,Fremdzuschreibung,0,1,0.0,0.0,[],[],positiv,die,"Klimaplanwirtschaft, die
Der Begriff ""Klimaplanwirtschaft"" bezeichnet einen Zusammenschluss von Personen im Bezug auf den Klimawandel. Der Begriff wird in unserem Korpus 1 Mal von den Klimaforschungsskeptikern und 0 Mal von den Klimaforschungsvertretern verwendet. Auf den gesamten Korpus gesehen entspricht das einer relativen Häufigkeit (TF-IDF) von 0.0 für die Skeptiker und 0.0 für die Vertreter. Verwendet wird ""Klimaplanwirtschaft"" hierbei im Sinne einer Fremdzuschreibung von Seiten der Skeptiker. In 0% der Fälle wird die Verwendung als sarkatisch eingestuft. In unserem Korpus Sample ist der Begriff tendenziell positiv konnotiert."
